,rider_provider,CashAndCashEquivalents,MarketableSecurities,TotalCurrentAssets,TotalAssets,PropertyAndEquipmentNet,Goodwill,TotalCurrentLiabilities,SharesOutstanding,TotalStockholdersEquity,TotalEquity,GrossProfit,TotalOperatingExpenses,NetIncome,GrossPropertyAndEquipment,StockPrice,SalesAndMarketing,TotalDebt,Revenues,CostOfSales,OperatingIncome,NetLoss,RecurringRevenue,ARR,GAAPRevenue,NonGAAPEarnings,MRR,FilingDate,DocURL
1,1540755_2020,309894000.0,,462915000.0,649807000.0,48639000.0,32379000.0,307692000.0,135495000.0,788447000.0,649807000.0,257245000.0,405678000.0,-149217000.0,93102000.0,,250430000.0,,,90777000.0,-148433000.0,,,-149217000.0,,,,2020-03-30,https://www.sec.gov/Archives/edgar/data/1540755/000156459020014183/plan-10k_20200131.htm
1,1013462_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-24,https://www.sec.gov/Archives/edgar/data/1013462/000101346221000009/anss-20201231.htm
1,1013462_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-27,https://www.sec.gov/Archives/edgar/data/1013462/000101346220000004/anss2019123110k.htm
1,1433195_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-01,https://www.sec.gov/Archives/edgar/data/1433195/000143319521000024/appf-20201231.htm
1,1433195_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-02,https://www.sec.gov/Archives/edgar/data/1433195/000143319520000019/appf12311910-k.htm
1,1441683_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-18,https://www.sec.gov/Archives/edgar/data/1441683/000144168321000018/appn-20201231.htm
1,1441683_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-20,https://www.sec.gov/Archives/edgar/data/1441683/000144168320000020/appn-20191231.htm
1,1477720_2021,259878000.0,126396000.0,445763000.0,731119000.0,74436000.0,,163476000.0,161480000.0,528616000.0,731119000.0,198263000.0,373830000.0,-211710000.0,96834000.0,,176479000.0,,227004000.0,28741000.0,-175567000.0,,,-211710000.0,,,,2021-03-30,https://www.sec.gov/Archives/edgar/data/1477720/000147772021000007/asan-20210131.htm
1,929940_2021,379853000.0,,768317000.0,1454000000.0,5610000.0,159852000.0,141530000.0,67912160.0,1778133000.0,1454000000.0,649225000.0,290824000.0,319803000.0,48535000.0,,114959000.0,,,,445892000.0,,,319803000.0,,,,2021-08-18,https://www.sec.gov/Archives/edgar/data/929940/000092994021000060/azpn-20210630.htm
1,929940_2020,287796000.0,,650440000.0,1223306000.0,5963000.0,137055000.0,234498000.0,,1458330000.0,1223306000.0,537110000.0,279751000.0,229671000.0,48887000.0,120.93,114486000.0,,,,333114000.0,,,229671000.0,,,,2020-12-09,https://www.sec.gov/Archives/edgar/data/929940/000092994020000069/azpn-20200630x10k.htm
1,884144_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-11,https://www.sec.gov/Archives/edgar/data/884144/000162828021004536/asur-20201231.htm
1,769397_2021,1772.2,4.0,2699.2,7279.8,192.8,2706.5,3254.7,219.6,2578.9,7279.8,3453.3,2824.2,1208.2,635.5,,1440.3,,3790.4,242.1,629.1,,,1208.2,,,,2021-03-19,https://www.sec.gov/Archives/edgar/data/769397/000076939721000014/adsk-20210131.htm
1,769397_2020,1774.7,,2659.3,6179.3,161.7,2445.0,3219.2,219.4,2317.0,6179.3,2949.4,2606.4,214.5,576.7,,1310.3,,3274.3,223.9,343.0,,,214.5,,,,2020-03-19,https://www.sec.gov/Archives/edgar/data/769397/000076939720000013/adsk-0131202010xk.htm
1,8670_2021,13143.2,24371.7,40741.8,50279.3,684.5,2338.4,38094.8,423.7,5670.1,48772.5,,,2598.5,2244.5,,,,15005.4,8640.3,,,,2598.5,,,,2021-08-04,https://www.sec.gov/Archives/edgar/data/8670/000000867021000027/adp-20210630.htm
1,8670_2020,1908.5,21576.6,31564.1,39165.5,703.9,2309.4,30126.6,429.9,5752.2,39165.5,1808.7,,2466.5,2228.7,,,,14589.8,8445.1,,,,2466.5,,,,2020-08-05,https://www.sec.gov/Archives/edgar/data/8670/000000867020000032/adp-20200630.htm
1,1348036_2021,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-25,https://www.sec.gov/Archives/edgar/data/1348036/000156459021008919/avlr-10k_20201231.htm
1,1348036_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-28,https://www.sec.gov/Archives/edgar/data/1348036/000156459020007791/avlr-10k_20191231.htm
